Configuration,Class,Precision,Recall,F1,Support
text-only,anger,0.3839,0.4765,0.4252,170
text-only,happy,0.0000,0.0000,0.0000,0
text-only,sadness,0.3563,0.5184,0.4223,299
text-only,neutral,0.2424,0.8000,0.3721,10
text-only,excited,0.4956,0.2940,0.3690,381
text-only,frustration,0.2222,0.3217,0.2629,143
text-only,disgust,0.4035,0.4844,0.4402,384
text-only,fear,0.7612,0.2082,0.3269,245
text-only,surprise,0.3000,0.1667,0.2143,18
audio-only,anger,0.4010,0.4882,0.4403,170
audio-only,happy,0.0000,0.0000,0.0000,0
audio-only,sadness,0.3441,0.2843,0.3114,299
audio-only,neutral,0.0000,0.0000,0.0000,10
audio-only,excited,0.3556,0.4331,0.3905,381
audio-only,frustration,0.1282,0.0350,0.0549,143
audio-only,disgust,0.4423,0.4792,0.4600,384
audio-only,fear,0.5571,0.4980,0.5259,245
audio-only,surprise,0.1087,0.2778,0.1562,18
video-only,anger,0.0000,0.0000,0.0000,170
video-only,happy,0.0000,0.0000,0.0000,0
video-only,sadness,0.0000,0.0000,0.0000,299
video-only,neutral,0.0000,0.0000,0.0000,10
video-only,excited,0.2867,0.7638,0.4169,381
video-only,frustration,0.0000,0.0000,0.0000,143
video-only,disgust,0.1859,0.2396,0.2093,384
video-only,fear,0.7885,0.1673,0.2761,245
video-only,surprise,0.0000,0.0000,0.0000,18
